date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Monday, 1 June 2020",2020-06-01,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-06-07,2020-06-06
"Tuesday, 2 June 2020",2020-06-02,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-08,2020-06-07,2020-06-06
"Wednesday, 3 June 2020",2020-06-03,2020-06-05,2020-06-04,2020-06-03,2020-06-09,2020-06-08,2020-06-07,2020-06-06
"Thursday, 4 June 2020",2020-06-04,2020-06-05,2020-06-04,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-06
"Friday, 5 June 2020",2020-06-05,2020-06-05,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-06
"Saturday, 6 June 2020",2020-06-06,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-06
"Sunday, 7 June 2020",2020-06-07,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-07,2020-06-13
"Monday, 8 June 2020",2020-06-08,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-14,2020-06-13
"Tuesday, 9 June 2020",2020-06-09,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-15,2020-06-14,2020-06-13
"Wednesday, 10 June 2020",2020-06-10,2020-06-12,2020-06-11,2020-06-10,2020-06-16,2020-06-15,2020-06-14,2020-06-13
"Thursday, 11 June 2020",2020-06-11,2020-06-12,2020-06-11,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-13
"Friday, 12 June 2020",2020-06-12,2020-06-12,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-13
"Saturday, 13 June 2020",2020-06-13,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-13
"Sunday, 14 June 2020",2020-06-14,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-14,2020-06-20
"Monday, 15 June 2020",2020-06-15,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-21,2020-06-20
"Tuesday, 16 June 2020",2020-06-16,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-22,2020-06-21,2020-06-20
"Wednesday, 17 June 2020",2020-06-17,2020-06-19,2020-06-18,2020-06-17,2020-06-23,2020-06-22,2020-06-21,2020-06-20
"Thursday, 18 June 2020",2020-06-18,2020-06-19,2020-06-18,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-20
"Friday, 19 June 2020",2020-06-19,2020-06-19,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-20
"Saturday, 20 June 2020",2020-06-20,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-20
"Sunday, 21 June 2020",2020-06-21,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-21,2020-06-27
"Monday, 22 June 2020",2020-06-22,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-28,2020-06-27
"Tuesday, 23 June 2020",2020-06-23,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-29,2020-06-28,2020-06-27
"Wednesday, 24 June 2020",2020-06-24,2020-06-26,2020-06-25,2020-06-24,2020-06-30,2020-06-29,2020-06-28,2020-06-27
"Thursday, 25 June 2020",2020-06-25,2020-06-26,2020-06-25,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-06-27
"Friday, 26 June 2020",2020-06-26,2020-06-26,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-06-27
"Saturday, 27 June 2020",2020-06-27,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-06-27
"Sunday, 28 June 2020",2020-06-28,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-28,2020-07-04
"Monday, 29 June 2020",2020-06-29,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-07-05,2020-07-04
"Tuesday, 30 June 2020",2020-06-30,2020-07-03,2020-07-02,2020-07-01,2020-06-30,2020-07-06,2020-07-05,2020-07-04
"Wednesday, 1 July 2020",2020-07-01,2020-07-03,2020-07-02,2020-07-01,2020-07-07,2020-07-06,2020-07-05,2020-07-04
"Thursday, 2 July 2020",2020-07-02,2020-07-03,2020-07-02,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-04
"Friday, 3 July 2020",2020-07-03,2020-07-03,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-04
"Saturday, 4 July 2020",2020-07-04,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-05,2020-07-04
