marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
E14000691,237,Enfield North,"68,452","48,565",70.9%,"48,690",71.1%,"48,808",71.3%,0,47,4,74,0,125,"9,777",40,0,"9,817",32,"8,254",44,8,32,0,0,24,"1,455","9,817","8,254",17,101,"8,136",118,357,6,23,4,4,9,22,71,8,0,0,38,"1,431",0,135,22/05/17,30/05/17, ,22:00:00,01:00:00,00:30:00,04:30:00,No,0,0,0
E14000692,238,"Enfield, Southgate","65,134","48,328",74.2%,"48,486",74.4%,"48,574",74.6%,0,54,0,104,0,158,"9,772",74,0,"9,846",41,"8,287",45,1,32,0,0,24,"1,457","9,846","8,287",15,73,"8,199",88,591,19,20,5,3,7,15,55,3,0,0,35,"1,616",0,97,22/05/17,30/05/17, ,22:00:00,01:00:00,00:30:00,04:30:00,No,0,0,0
E14000693,239,Epping Forest,"74,737","50,779",67.9%,"50,909",68.1%,"51,010",68.3%,0,23,16,91,0,130,"8,913",26,0,"8,939",0,"7,763",0,26,0,0,0,10,"1,140","8,939","7,763",6,95,"7,662",101,353,4,62,0,0,0,57,34,4,9,4,45,289,32,20,22/05/17,22/05/17,4,22:00:00,12:30:00,00:45:00,01:05:00,No,0,0,0
E14000694,240,Epsom and Ewell,"80,029","59,266",74.1%,"59,468",74.3%,"59,737",74.6%,0,34,1,167,0,202,"14,111",56,0,"14,167",43,"12,367",63,1,12,0,0,28,"1,656","14,127","12,367",76,132,"12,098",269,455,13,74,13,27,36,64,65,3,41,19,51,"1,180",11,10,19/05/17,27/05/17,65,22:00:00,12:25:00,00:30:00,02:03:00,No,0,0,0
E14000695,241,Erewash,"72,995","49,781",68.2%,"49,867",68.3%,"50,216",68.8%,0,13,2,71,0,86,"14,575",163,0,"14,738",169,"12,827",24,4,72,15,0,12,"1,784","14,738","12,712",11,90,"12,478",121,352,17,125,3,4,4,19,74,0,34,87,49,612,13,52,18/05/17,23/05/17,40,22:00:00,00:10:00,00:20:00,01:40:00,No,0,0,0
E14000696,242,Erith and Thamesmead,"69,724","44,464",63.8%,"44,543",63.9%,"45,100",64.7%,0,37,0,42,0,79,"10,273",47,0,"10,320",57,"8,649",118,0,10,0,0,39,"1,504","10,320","8,649",58,129,"8,092",213,152,4,45,19,23,16,66,50,13,17,9,48,"1,072",94, ,17/05/17,19/05/17,10,22:00:00,01:30:00,01:40:00,03:15:00,No ,0,0,0
E14000697,243,Esher and Walton,"80,938","59,894",74.0%,"59,946",74.1%,"60,150",74.3%,0,6,2,44,0,52,"16,173",309,0,"16,482",269,"13,910",76,3,37,0,0,53,"2,403","16,482","13,910",70,96,"13,706",204,935,46,95,5,52,13,29,54,13,24,14,58,"1,484",21, ,19/05/17,22/05/17,47,22:00:00,01:00:00,01:00:00,03:10:00,No,0,0,0
E14000698,244,Exeter,"77,330","55,416",71.7%,"55,547",71.8%,"55,843",72.2%,0,22,0,109,0,131,"14,335",46,0,"14,381",0,"12,834",47,14,32,14,0,65,"1,547","14,553","12,834",11,223,"12,538",285,588,5,93,8,3,0,100,93,14,8,43,51,952,14, ,19/05/17,26/05/17,164,22:00:00,01:00:00,01:30:00,03:30:00,No,0,0,0
S14000028,245,Falkirk,"82,240","53,867",65.5%,"53,925",65.6%,"54,102",65.8%,0,10,0,48,0,58,"11,742",35,0,"11,777",7,"9,786",23,14,20,0,0,22,"1,912","11,777","9,786",65,81,"9,609",146,401,5,227,12,14,39,11,62,8,9,20,85,949,0, ,22/05/17,22/05/17,34,22:00:00,00:05:00,00:10:00,01:30:00,No,0,0,0
E14000699,246,Fareham,"78,837","57,014",72.3%,"57,138",72.5%,"57,347",72.7%,0,27,10,87,0,124,"13,659",81,0,"13,740",46,"12,023",35,2,33,0,0,37,"1,610","13,740","12,023",118,71,"11,814",217,592,11,68,6,97,15,17,40,14,0,0,57,718,11,7,19/05/17,24/05/17,43,22:00:00,12:10:00,00:10:00,01:50:00,No,0,0,0
E14000700,247,Faversham and Mid Kent,"72,205","49,749",68.9%,"49,826",69.0%,"50,422",69.8%,0,6,1,70,0,77,"12,866",52,0,"12,918",29,"11,507",24,33,19,0,0,18,"1,317","12,918","11,107",9,138,"10,911",194,421,2,50,30,5,31,39,55,44,8,13,63,454,26,93,17/05/17,30/05/17,37,22:00:00,01:20:00,01:24:00,03:43:00,No,0,0,0
E14000701,248,Feltham and Heston,"81,714","53,027",64.9%,"53,138",65.0%,"53,446",65.4%,1,39,0,71,0,111,"12,732",43,0,"12,775",120,"10,572",73,9,34,0,0,71,"1,973","12,732","10,572",69,233,"10,264",324,210,10,39,12,50,7,98,111,24,10,12,50,"1,328",50,26,17/05/17,20/05/17, ,22:00:00,00:59:00,00:45:00,03:53:00,No,0,0,1
N06000007,249,Fermanagh and South Tyrone,"70,601","53,488",75.8%,"53,714",76.1%,"53,882",76.3%,0,125,0,101,0,226,"2,978",0,0,"2,978",0,"2,705",11,0,0,0,0,1,261,"2,978",,,,"2,537",168,"1,707",,,,,,,,,,,89,,,88, , ,0,22:30:00,02:20:00,00:50:00,03:55:00, ,0,0,0
E14000702,251,Filton and Bradley Stoke,"72,483","50,702",70.0%,"50,866",70.2%,"51,144",70.6%,0,20,0,144,0,164,"14,178",44,0,"14,222",21,"12,273",142,0,23,0,0,84,"1,679","14,201","12,273",69,142,"11,995",0,383,17,41,14,11,0,57,53,32,31,52,46,"1,205",301,7,16/05/17,23/05/17,84,22:00:00,00:45:00,00:45:00,04:25:00,No,0,0,0
E14000703,252,Finchley and Golders Green,"73,151","52,385",71.6%,"52,544",71.8%,"52,792",72.2%,0,37,0,122,0,159,"15,699",86,0,"15,785",45,"12,536",0,2,84,0,0,120,"3,043","15,785","12,536",13,235,"12,288",248,122,53,106,38,11,20,36,105,29,235,28,50,"1,113",0, ,17/05/17,23/06/17,44,22:00:00,01:40:00,01:50:00,04:05:00,No,0,0,0
E14000704,253,Folkestone and Hythe,"86,272","58,875",68.2%,"58,972",68.4%,"59,254",68.7%,0,23,0,74,0,97,"17,889",92,0,"17,981",53,"15,103",42,1,38,0,1,51,"2,745","17,981","15,103",38,397,"14,821",0,482,1,117,18,4,16,198,159,40,0,0,66,421,93,0,17/05/17,22/05/17,43,22:00:00,23:45:00,01:40:00,03:55:00,No,0,0,0
E14000705,254,Forest of Dean,"70,898","50,526",71.3%,"50,607",71.4%,"50,912",71.8%,0,26,2,53,0,81,"13,164",33,6,"13,203",140,"11,625",24,3,30,6,0,14,"1,491","13,193","11,625",84,50,"11,320",305,457,16,164,5,80,0,7,39,4,12,159,78,"11,625",14,8,22/05/17,22/05/17,22,22:00:00,00:00:00,00:30:00,03:00:00,No,0,0,0
N06000008,255,Foyle,"70,324","45,959",65.4%,"46,136",65.6%,"46,153",65.6%,0,85,1,91,0,177,"1,406",0,0,"1,406",0,"1,217",7,0,0,0,0,1,181,"1,406",,,,"1,200",17,"1,282",,,,,,,,,,,75,,,78, , ,0,22:12:00,00:15:00,22:45:00,01:15:00, ,0,0,0
E14000706,256,Fylde,"65,937","46,467",70.5%,"46,594",70.7%,"46,648",70.7%,0,13,0,114,0,127,"15,079",72,0,"15,151",32,"13,056",31,0,37,0,0,26,"2,001","15,151","13,056",13,41,"13,002",13,448,9,54,4,4,4,25,10,6,10,56,55,911,16,12,16/05/17,23/05/17,55,22:00:00,00:30:00,00:30:00,01:55:00,No,0,0,0
E14000707,257,Gainsborough,"75,893","57,425",75.7%,"57,575",75.9%,"57,918",76.3%,0,27,87,36,0,150,"12,517",42,0,"12,559",11,"11,067",29,1,30,0,0,1,"1,431","12,559","11,067",0,184,"10,724",343,528,14,48,30,4,31,87,81,16,0,41,105,"1,283",102,22,13/05/17,19/05/17,18,22:30:00,01:00:00,01:30:00,02:45:00,No,0,0,0
E14000708,258,Garston and Halewood,"75,248","53,522",71.1%,"53,665",71.3%,"53,969",71.7%,0,87,0,56,0,143,"12,472",151,0,"12,623",30,"10,370",31,0,121,0,0,11,"2,090","12,623","10,370",57,95,"10,066",152,340,32,35,38,5,14,18,67,10,166,4,46,"1,002",2,6,17/05/17,27/05/17,62,22:00:00,00:15:00,00:25:00,01:05:00,No,0,0,0
E14000709,259,Gateshead,"65,186","42,103",64.6%,"42,174",64.7%,"42,537",65.3%,0,11,2,58,0,71,"19,199",93,0,"19,292",25,"16,232",25,10,58,0,0,51,"2,916","19,292","16,232",85,221,"15,869",336,211,3,103,15,12,58,72,91,58,3,27,48,"1,524",24, ,18/05/17,22/05/17,85,22:00:00,00:00:00,00:15:00,01:58:00,No,0,0,0
E14000710,260,Gedling,"71,223","51,682",72.6%,"51,765",72.7%,"51,899",72.9%,0,35,0,48,0,83,"13,127",95,0,"13,222",47,"12,259",29,4,44,0,0,68,29,"12,433","12,259",13,101,"12,125",0,487,115,60,10,3,0,27,46,28,1,0,50,552,6,20,15/05/17,25/05/17,26,22:00:00,23:45:00,23:45:00,02:45:00,No,0,0,0
E14000711,261,Gillingham and Rainham,"72,903","48,868",67.0%,"48,958",67.2%,"49,394",67.8%,0,21,0,69,0,90,"13,278",24,0,"13,302",0,"11,090",29,0,24,0, ,51,"2,108","13,302","11,090",8,200,"10,654", ,"1,089",19,28,3,0,2,90,80,25,8,10,41,"1,275",16, ,19/05/17,26/05/17,275,22:00:00,02:00:00,02:00:00,04:08:00,No,0,0,0
S14000029,262,Glasgow Central,"64,346","35,984",55.9%,"36,098",56.1%,"36,374",56.5%,0,33,0,81,0,114,"9,876",74,0,"9,950",8,"7,182",57,0,9,0,0,114,"2,588","9,950","7,146",48,182,"6,906",242,462,20,220,14,3,31,86,83,13,10,12,73,939,18,4,19/05/17,24/05/17,71,22:00:00,00:10:00,00:10:00,01:50:00,No,0,0,0
S14000030,263,Glasgow East,"66,242","36,175",54.6%,"36,231",54.7%,"36,428",55.0%,0,19,2,35,0,56,"9,619",22,1,"9,642",0,"7,333",21,1,2,0,0,73,"2,212","9,642","7,337",59,139,"7,136",220,175,2,210,17,3,39,71,62,6,3,22,75,640,2,5,22/05/17,24/05/17,54,22:00:00,00:01:00,00:01:00,01:42:00,No,0,0,0
S14000031,264,Glasgow North,"55,862","33,473",59.9%,"33,534",60.0%,"33,738",60.4%,0,18,0,43,0,61,"8,219",45,0,"8,264",4,"6,547",56,0,7,0,0,69,"1,585","8,264","6,520",31,141,"6,343",186,553,15,150,3,3,25,70,64,7,5,14,60,703,20,4,20/05/17,24/05/17,41,22:00:00,00:04:00,00:04:00,02:05:00,No,0,0,0
S14000032,265,Glasgow North East,"59,931","31,775",53.0%,"31,832",53.1%,"32,055",53.5%,0,16,1,40,0,57,"8,909",19,0,"8,928",2,"6,634",33,0,2,0,0,124,"2,135","8,928","6,622",54,151,"6,411",217,173,8,272,17,1,36,83,63,5,5,12,72,644,6,3,19/05/17,24/05/17,62,22:00:00,00:02:00,00:02:00,01:50:00,No,0,0,0
S14000033,266,Glasgow North West,"63,773","38,844",60.9%,"38,933",61.0%,"39,119",61.3%,0,18,0,71,0,89,"10,632",26,0,"10,658",0,"8,370",58,2,0,0,0,94,"2,134","10,658","8,361",52,116,"8,184",181,406,14,284,13,4,35,46,65,5,9,13,73,746,25,6,19/05/17,24/05/17,52,22:00:00,00:35:00,00:35:00,02:18:00,No,0,0,0
S14000034,267,Glasgow South,"69,126","44,550",64.4%,"44,633",64.6%,"44,858",64.9%,0,17,0,66,0,83,"11,377",46,0,"11,423",0,"9,069",32,1,3,0,0,67,"2,251","11,423","9,049",47,151,"8,844",220,519,22,170,19,3,25,76,63,12,6,22,74,979,12,4,19/05/17,24/05/17,52,22:00:00,00:20:00,00:20:00,02:10:00,No,0,0,0
S14000035,268,Glasgow South West,"62,991","35,378",56.2%,"35,444",56.3%,"35,600",56.5%,0,16,2,48,0,66,"9,740",27,0,"9,767",0,"7,470",42,1,0,0,0,60,"2,194","9,767","7,477",42,113,"7,314",169,182,5,273,13,3,26,48,56,9,8,14,66,725,10,3,20/05/17,24/05/17,48,22:00:00,00:28:00,00:28:00,02:35:00,No,0,0,0
S14000036,269,Glenrothes,"66,378","40,399",60.9%,"40,440",60.9%,"40,669",61.3%,0,4,0,37,0,41,"11,919",20,0,"11,939",0,"9,448",16,2,18,0,0,28,"2,427","11,939","9,416",72,117,"9,219",215,237,6,88,24,7,41,48,60,9,8,26,73,871,8,0,20/05/17,24/05/17,37,22:00:00,01:42:00,01:00:00,02:16:00,No,0,0,0
E14000712,270,Gloucester,"82,965","54,078",65.2%,"54,154",65.3%,"54,362",65.5%,0,21,0,55,0,76,"17,829",117,0,"17,946",19,"14,567",43,0,98,0,0,51,"3,187","17,946","14,569",32,376,"14,359",208,287,43,164,29,3,0,173,175,28,35,228,66,"1,651",24,25,19/05/17,22/05/17,43,22:00:00,01:00:00,01:00:00,02:45:00,No,0,0,0
S14000037,271,Gordon,"78,531","53,685",68.4%,"53,740",68.4%,"53,953",68.7%,0,9,0,46,0,55,"17,790",18,0,"17,815",63,"14,837",45,7,11,0,7,6,"2,902","17,815","14,837",83,120,"14,624",25,685,6,109,16,32,35,31,78,11,14,25,93,957,35,1,19/05/17,22/05/17,82,22:00:00,01:15:00,01:30:00,03:00:00,No,0,0,0
E14000713,272,Gosport,"74,152","49,481",66.7%,"49,509",66.8%,"49,522",66.8%,0,8,1,19,0,28,"11,278",173,8,"11,459",22,"9,442",61,4,29,5,0,36,"1,882","11,459","9,442",51,156,"9,429",0,424,7,164,8,1,3,72,55,29,28,23,51,556,18,8,15/05/17,19/05/17,18,22:11:00,00:20:00,00:35:00,03:09:00,No,0,0,0
W07000046,273,Gower,"62,089","45,576",73.4%,"45,629",73.5%,"45,984",74.1%,0,19,0,34,0,53,"13,340",25,95,"13,460",21,"11,798",39,1,24,0,0,18,"1,580","13,460","11,798",61,45,"11,443",241,456,18,17,24,33,4,16,26,4,18,117,55,"11,798",15, ,18/05/17,25/05/17,63,22:05:00,00:30:00,00:30:00,02:30:00,No,0,0,0
E14000714,274,Grantham and Stamford,"81,740","56,593",69.2%,"56,699",69.4%,"56,906",69.6%,0,15,2,89,0,106,"15,988",65,0,"16,053",15,"13,851",68,5,45,0,0,64,"2,020","16,053","13,851",19,101,"13,644",207,455,43,82,2,16,1,28,54,19,25,62,85,926,0,8,17/05/17,18/05/17,24,22:00:00,00:30:00,00:30:00,02:30:00,No,0,0,0
E14000715,275,Gravesham,"72,954","48,997",67.2%,"49,106",67.3%,"49,558",67.9%,0,35,3,71,0,109,"15,715",71,0,"15,783",66,"12,452",78,17,54,0,0,78,"3,104","15,783","12,452",92,414,"12,000",429,368,15,67,7,4,4,306,79,29,2,0,55,"1,841",38,10,17/05/17,25/05/17,92,22:10:00,23:30:00,23:30:00,02:35:00,No,0,0,0
E14000716,276,Great Grimsby,"61,743","35,521",57.5%,"35,600",57.7%,"35,749",57.9%,0,13,0,66,0,79,"8,789",11,0,"8,800",16,"7,059",36,1,10,0,0,44,"1,650","8,800","7,059",22,117,"6,910",149,272,8,33,3,14,5,63,44,10,10,5,47,421,7,16,18/05/17,25/05/17,4,22:00:00,00:40:00,00:55:00,02:20:00,No,0,0,0
E14000717,277,Great Yarmouth,"71,408","44,145",61.8%,"44,348",62.1%,"44,653",62.5%,0,138,9,4,52,203,"12,206",50,0,"12,256",45,"10,234",11,3,47,0,0,19,"1,942","12,256","10,234",209,96,"9,929",305,275,7,25,12,12,160,14,46,36,5,20,46,248,1,75,18/05/17,21/05/17,35,22:00:00,00:05:00,00:30:00,03:07:00,No,0,0,0
E14000718,278,Greenwich and Woolwich,"77,190","53,107",68.8%,"53,307",69.1%,"53,520",69.3%,0,60,4,136,0,200,"12,203",72,0,"12,275",0,"10,123",84,0,72,0,0,77,"1,919","12,275","10,123",26,187,"9,910",213,559,30,28,8,15,3,85,88,14,8,17,58,"1,090",22,6,17/05/17,18/05/17, ,22:00:00,01:03:00,00:45:00,03:06:00,No,0,0,0
E14000719,279,Guildford,"75,292","55,509",73.7%,"55,656",73.9%,"55,916",74.3%,0,28,1,118,0,147,"16,194",283,0,"16,477",36,"13,688",75,4,279,0,0,54,"2,341","16,477","13,688",51,33,"13,428",260,737,28,39,12,61,70,73,58,6,17,66,58,"1,797",75,30,19/05/17,30/05/17,49,22:00:00,00:30:00,00:35:00,02:25:00,No,0,0,0
E14000720,280,Hackney North and Stoke Newington,"85,058","56,409",66.3%,"56,596",66.5%,"57,040",67.1%,0,56,2,122,7,187,"16,817",10,93,"16,920",0,"12,538",217,10,93,103,0,62,"6,402","16,817","12,538",396,396,"12,094",444,887,29,91,4,26,11,158,70,74,48,0,66,"1,469",59, ,19/05/17,19/05/17,34,23:00:00,00:30:00,00:30:00,03:05:00,No,0,0,0
E14000721,281,Hackney South and Shoreditch,"83,099","53,354",64.2%,"53,569",64.5%,"54,010",65.0%,12,76,13,99,15,215,"14,038",11,125,"14,174",0,"11,359",188,11,125,136,0,65,"4,505","14,038","11,359",398,398,"10,918",441,774,25,39,1,3,3,174,113,44,42,3,66,"1,313",24, ,19/05/17,19/05/17,30,23:00:00,00:30:00,00:30:00,03:20:00,No,0,0,0
E14000722,282,Halesowen and Rowley Regis,"66,766","44,378",66.5%,"44,468",66.6%,"44,637",66.9%,0,29,0,61,0,90,"9,924",19,0,"9,943",14,"8,420",74,0,5,0,0,34,"1,405","9,938","8,420",30,108,"8,251",156,188,0,33,5,7,18,49,51,8,16,0,53,278,8, ,15/05/17,23/05/17,18,22:15:00,01:00:00,01:15:00,04:00:00,No,0,0,0
E14000723,283,Halifax,"71,224","48,278",67.8%,"48,377",67.9%,"48,700",68.4%,0,17,6,76,0,99,"17,604",37,1,"17,642",102,"15,435",44,7,30,1,0,19,"2,106","17,642","15,435",52,233,"15,112",323,283,6,62,10,31,11,137,58,13,7,22,50,"1,562",44,2,18/05/17,24/05/17,135,22:00:00,03:00:00,01:30:00,04:00:00,No,0,0,0
E14000724,284,Haltemprice and Howden,"71,519","51,440",71.9%,"51,599",72.1%,"51,734",72.3%,0,55,2,102,0,159,"12,647",24,9,"12,680",74,"11,113",40,0,24,9,0,79,"1,415","12,680","11,088",20,52,"10,978",72,448, ,58,2,1,17,30,18,3,11,14,66,548,12, ,16/05/17,19/05/17,10,22:05:00,01:10:00,01:15:00,04:01:00,No,0,0,0
E14000725,285,Halton,"73,814","49,518",67.1%,"49,603",67.2%,"49,773",67.4%,0,23,6,56,0,85,"6,976",37,0,"7,013",42,"5,933",18,0,16,7,0,8,16,"5,990","5,933",60,110,"5,763",170,371,8,83,8,32,20,48,58,18,1,10,59,567,66,20,19/05/17,24/05/17,150,22:15:00,23:59:00,00:00:00,01:15:00,No,0,0,0
E14000726,286,Hammersmith,"72,805","52,252",71.8%,"52,383",72.0%,"52,610",72.3%,0,43,2,86,0,131,"14,001",105,0,"14,106",67,"11,502",194,1,104,0,0,37,"2,268","14,106","11,502",47,115,"11,275",227,743,28,17,12,29,6,45,62,8,48,17,38,"1,630",54,74,17/05/17,25/05/17,48,22:00:00,00:48:00,00:48:00,03:40:00,No,0,2,0
E14000727,290,Hampstead and Kilburn,"82,943","58,407",70.4%,"58,572",70.6%,"58,931",71.0%,0,37,5,123,0,165,"15,926",151,0,"16,077",253,"12,965",205,4,147,67,0,54,"2,635","16,077","12,794",37,151,"12,606",288,"1,084",23,54,11,22,4,52,75,24,58,42,54,"1,450",79,32,17/05/17,20/05/17,186,22:00:00,01:30:00,01:15:00,03:45:00,No,0,0,0
E14000728,291,Harborough,"78,810","57,605",73.1%,"57,723",73.2%,"58,103",73.7%,0,38,0,80,0,118,"15,919",80,0,"15,999",47,"13,805",66,3,54,0,0,35,"2,016","15,979","13,805",120,227,"13,425",380,598,36,96,11,34,75,63,51,51,1,32,56,869,45,40,19/05/17,15/05/17,26,22:00:00,00:30:00,01:00:00,02:30:00,No,0,0,0
E14000729,292,Harlow,"67,669","44,846",66.3%,"44,921",66.4%,"45,087",66.6%,0,0,5,70,0,75,"10,551",22,0,"10,573",77,"9,250",20,7,15,0,0,4,"1,277","10,573","9,250",3,101,"9,084",166,246,18,45,2,0,1,71,23,7,3,59,32,616,0,4,18/05/17,19/05/17,22,22:00:00,00:00:00,00:01:00,01:20:00,No,0,0,0
E14000730,293,Harrogate and Knaresborough,"77,280","56,768",73.5%,"56,907",73.6%,"57,260",74.1%,0,33,3,103,0,139,"17,922",86,0,"18,008",40,"15,669",71,11,35,0,0,67,"2,115","17,968","15,669",136,158,"15,316",334,703,18,112,26,23,87,78,54,26,0,0,76,"1,207",0, ,18/05/17,30/05/17,32,22:00:00,23:30:00,23:50:00,01:05:00,No,0,0,0
E14000731,294,Harrow East,"71,755","50,791",70.8%,"50,933",71.0%,"51,348",71.6%,0,39,3,100,0,142,"15,592",106,0,"15,666",147,"13,103",42,3,71,0,0,62,"2,385","15,666","13,103",91,279,"12,688",415,412,7,53,14,70,7,126,112,34,26,12,54,"1,703",1,0,19/05/17,20/05/17,90,22:00:00,00:00:00,00:15:00,03:00:00,No,0,0,0
E14000732,295,Harrow West,"69,797","50,358",72.1%,"50,486",72.3%,"50,792",72.8%,0,32,1,95,0,128,"13,306",117,0,"13,392",139,"11,109",37,3,83,0,0,62,"2,098","13,392","11,109",70,185,"10,803",306,423,19,54,10,52,8,85,80,20,31,20,51,"1,559",2,0,19/05/17,20/05/17,65,22:00:00,00:00:00,00:15:00,03:00:00,No,0,0,0
E14000733,296,Hartlepool,"70,718","41,835",59.2%,"41,921",59.3%,"42,093",59.5%,0,26,3,57,0,86,"11,574",26,0,"11,600",7,"9,737",25,0,19,0,0,0,"1,819","11,600","9,737",11,92,"9,565",172,268,10,138,3,7,1,30,47,15,9,39,57,862,4,30,20/05/17,22/05/17,31,22:00:00,23:28:00,23:30:00,01:20:00,No,0,0,0
E14000734,297,Harwich and North Essex,"71,294","51,141",71.7%,"51,224",71.8%,"51,410",72.1%,0,10,2,71,0,83,"11,666",72,0,"11,738",24,"10,116",40,5,33,0,0,24,"1,520","11,738","10,116",16,149,"9,930",44,349,5,52, , , ,82,54,13,28,0,69,712,21, ,19/05/17,22/05/17,41,22:00:00,00:30:00,00:45:00,02:03:00,No,0,0,0
E14000735,298,Hastings and Rye,"78,319","54,766",69.9%,"54,863",70.1%,"55,166",70.4%,0,16,2,79,0,97,"14,528",57,0,"14,585",0,"12,533",67,4,53,0,0,100,"1,828","14,585","12,533",91,118,"12,230",218,372,2,37,48,6,37,18,90,10,4,5,53,833,22,40,17/05/17,26/05/17,21,22:00:00,00:45:00,00:45:00,04:45:00,No,1,0,0
E14000736,299,Havant,"72,470","46,323",63.9%,"46,399",64.0%,"46,559",64.2%,0,28,0,48,0,76,"10,569",47,5,"10,621",30,"9,231",19,5,12,17,1,5,"2,447","11,737","9,231",0,78,"9,071",160,411,14,86,1,4,2,39,42,5,19,48,40,689,9,17,17/05/17,25/05/17,11,22:01:00,00:01:00,00:15:00,01:03:00,No,1,0,0
E14000737,300,Hayes and Harlington,"73,268","47,802",65.2%,"47,920",65.4%,"48,138",65.7%,0,54,7,57,0,118,"9,633",91,0,"9,724",19,"7,979",47,2,70,0,0,37,"1,589","9,724","7,979",19,194,"7,761",89,186,0,31,4,4,11,93,57,44,0,0,51,977,40, ,15/05/17,23/05/17, ,22:00:00,01:15:00,01:20:00,03:05:00,No,0,0,0
E14000738,301,Hazel Grove,"63,166","44,132",69.9%,"44,246",70.0%,"44,430",70.3%,0,22,2,90,0,114,"14,212",79,0,"14,291",47,"12,180",33,1,31,0,0,0,"2,046","14,291","12,159",30,133,"11,996",0,444,1,74,10,2,17,19,100,14,0,0,46,"1,202",12,0,17/05/17,24/05/17,122,22:05:00,00:30:00,00:45:00,03:55:00,No,0,0,0
E14000739,302,Hemel Hempstead,"74,415","52,282",70.3%,"52,433",70.5%,"52,824",71.0%,0,31,6,114,0,151,"11,322",179,8,"11,509",36,"10,968",40,1,30,8,0,32,430,"11,509","10,968",82,391,"10,577",211,489,6,71,7,5,1,192,35,15,42,25,53,441,8,4,13/05/17,17/05/17,186,22:00:00,00:10:00,00:35:00,02:03:00,No,0,0,0
E14000740,303,Hemsworth,"71,870","45,944",63.9%,"46,027",64.0%,"46,234",64.3%,0,13,4,66,0,83,"12,367",69,0,"12,436",57,"10,794",26,2,10,0,0,34,"1,570","12,436","10,699",13,92,"10,587",169,306,16,80,9,2,2,39,56,7,9,55,52,719, , ,15/05/17,26/05/17,36,22:00:00,02:15:00,01:50:00,05:10:00,No,0,0,0
E14000741,304,Hendon,"77,040","52,215",67.8%,"52,330",67.9%,"52,722",68.4%,0,34,4,77,0,115,"17,440",98,0,"17,538",57,"14,243",0,2,96,0,0,90,"3,107","17,538","14,243",12,380,"13,851",380,113,44,109,73,14,28,84,149,32,380,28,52,0,0,36,17/05/17,23/05/17,46,22:00:00,01:05:00,00:40:00,03:50:00,No,0,0,0
E14000742,305,Henley,"74,997","57,099",76.1%,"57,218",76.3%,"57,299",76.4%,0,14,1,104,0,119,"12,487",29,0,"12,516",29,"10,887",0,0,0,43,0,0,"1,586","12,516","10,887",25,99,"10,806",124,665,0,73,3,10,12,23,49,27,0,0,92,183, , ,19/05/17,30/05/17,0,22:00:00,01:20:00,01:25:00,04:15:00,No,0,0,0
E14000743,306,Hereford and South Herefordshire,"71,088","50,555",71.1%,"50,626",71.2%,"50,988",71.7%,23,22,0,26,0,71,"12,639",60,9,"12,708",20,"11,267",38,4,56,0,0,36,"1,307","12,708","11,267",22,186,"10,905",362,554,27,36,13,9,0,79,103,4,17,137,82,980,25,8,17/05/17,23/05/17,25,22:00:00,01:10:00,01:20:00,03:45:00,No,0,0,0
E14000744,308,Hertford and Stortford,"82,339","59,999",72.9%,"60,229",73.1%,"60,359",73.3%,1,29,0,200,0,230,"15,451",114,0,"15,565",72,"13,162",75,7,35,0,2,46,"2,238","15,565","13,162",36,76,"13,032",130,686,24,25,5,17,14,25,48,3,8,10,68,"1,033",56,10,15/05/17,23/05/17,34,22:00:00,12:15:00,12:20:00,02:15:00,No,0,0,0
E14000745,311,Hertsmere,"73,549","52,253",71.0%,"52,389",71.2%,"52,767",71.7%,7,23,6,100,0,136,"13,003",61,0,"13,064",0,"11,027",67,12,49,0,0,112,"1,797","13,064","11,027",210,168,"10,649",378,509,12,53,19,1,190,30,123,15,10,17,71,859,42, ,18/05/17,22/05/17,76,22:00:00,00:30:00,00:30:00,01:50:00,No ,0,0,0
E14000746,312,Hexham,"61,737","46,224",74.9%,"46,303",75.0%,"46,613",75.5%,0,15,3,61,0,79,"14,533",74,0,"14,607",36,"13,102",36,19,38,26,0,36,"1,350","14,607","13,102",81,165,"12,792",310,695,1,71,20,13,48,65,78,22,0,0,86,845, , ,11/05/17,22/05/17,25,23:30:00,03:00:00,03:00:00,05:40:00,No,0,0,0
