Latitude,Longitude,Type,Date,Part of a policing operation,Policing operation,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
52.43889,-1.466585,Person and Vehicle search,2017-10-02T23:55:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.526461,-2.058959,Person search,2017-10-03T00:17:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Criminal Justice Act 1988 (section 139B),Offensive weapons,Suspect arrested,FALSE,FALSE
52.526461,-2.058959,Person search,2017-10-03T00:17:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Criminal Justice Act 1988 (section 139B),Offensive weapons,Suspect arrested,FALSE,FALSE
52.610423,-1.990653,Vehicle search,2017-10-03T02:20:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
52.433573,-1.84606,Person search,2017-10-03T02:26:00+00:00,,,,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.433573,-1.84606,Vehicle search,2017-10-03T02:35:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.5496,-1.834653,Person search,2017-10-03T03:45:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,TRUE,FALSE
52.610423,-1.990653,Vehicle search,2017-10-03T03:54:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
52.489135,-1.752717,Person search,2017-10-03T07:25:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,FALSE
52.489135,-1.752717,Person and Vehicle search,2017-10-03T07:25:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,TRUE,FALSE
52.584332,-2.124597,Person and Vehicle search,2017-10-03T09:05:00+00:00,,,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,TRUE,FALSE
52.464818,-1.843036,Person search,2017-10-03T09:58:00+00:00,,,,25-34,Mixed/Multiple ethnic groups - White and Black African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.482067,-1.897796,Person search,2017-10-03T10:50:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.584762,-2.125528,Person search,2017-10-03T10:52:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.584762,-2.125528,Vehicle search,2017-10-03T10:52:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.412221,-1.455865,Person search,2017-10-03T12:56:00+00:00,,,,,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.412221,-1.455865,Person and Vehicle search,2017-10-03T12:56:00+00:00,,,,,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.496251,-1.832938,Person search,2017-10-03T13:00:00+00:00,,,,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.496251,-1.832938,Person search,2017-10-03T13:00:00+00:00,,,,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.406256,-1.91167,Person search,2017-10-03T13:04:00+00:00,,,,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.427741,-1.499339,Person search,2017-10-03T13:45:00+00:00,,,,18-24,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.406256,-1.91167,Person search,2017-10-03T13:48:00+00:00,,,,,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.482389,-2.122644,Person search,2017-10-03T18:30:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.482389,-2.122644,Person search,2017-10-03T18:30:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.482389,-2.122644,Person search,2017-10-03T18:30:00+00:00,,,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,FALSE,
52.652522,-1.935168,Person search,2017-10-03T20:10:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
52.590373,-2.124422,Person and Vehicle search,2017-10-03T20:15:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.590373,-2.124422,Person search,2017-10-03T20:25:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.58933,-2.124759,Person search,2017-10-03T20:28:00+00:00,,,,25-34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.58933,-2.124759,Person search,2017-10-03T20:30:00+00:00,,,,25-34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.590373,-2.124422,Person search,2017-10-03T20:32:00+00:00,,,,25-34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.496938,-1.910694,Person and Vehicle search,2017-10-03T22:04:00+00:00,,,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,TRUE
52.526263,-1.871354,Vehicle search,2017-10-03T22:43:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,
52.526263,-1.871354,Person search,2017-10-03T22:43:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.453245,-1.84087,Person and Vehicle search,2017-10-03T22:54:00+00:00,,,,18-24,White - Any other White background,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.502257,-1.990086,Vehicle search,2017-10-03T23:06:00+00:00,,,,,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.502257,-1.990086,Person search,2017-10-03T23:06:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.502257,-1.990086,Person search,2017-10-03T23:06:00+00:00,,,,,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.475838,-2.038662,Person search,2017-10-03T23:10:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
52.502572,-1.992311,Person search,2017-10-03T23:15:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.591635,-2.137563,Person search,2017-10-03T23:20:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,FALSE,FALSE
52.519931,-1.995845,Person and Vehicle search,2017-10-04T00:04:00+00:00,,,,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
